first_1,first_2,first_3,first_4,first_5,first_6,pubs_1,pubs_2,pubs_3,pubs_4,pubs_5,pubs_6,dems_1,dems_2,dems_3,dems_4,dems_5,dems_6,third_1,third_2,third_3,third_4,third_5,third_6,state,partyID,partyID_4_TEXT,relig,relig_10_TEXT,religiosity,educ
"strong,encouraging,great,sincere","healthy,important,decent,confident","irresponsible,unfair,destructive,selfish","ignorant,dangerous,hateful,unjust","individualistic,competitive,concrete,profit-driven","pragmatic,modern,abstract,rural","kind,strong,encouraging,great","important,decent,confident,moral","unacceptable,disgusting,stupid,selfish","ignorant,dangerous,poor,foolish","individualistic,competitive,traditional,profit-driven","pragmatic,modern,rural,purpose-driven","strong,encouraging,great,sincere","healthy,important,decent,confident","irresponsible,unfair,destructive,selfish","ignorant,irrational,dangerous,unjust","individualistic,competitive,urban,profit-driven","pragmatic,cooperative,modern,abstract","strong,encouraging,great,happy","healthy,important,decent,confident","stupid,unfair,destructive,selfish","ignorant,irrational,dangerous,unjust","individualistic,competitive,young,profit-driven","pragmatic,modern,abstract,purpose-driven",California,Democrat,,Atheists (do not believe God exists),,Not at all1,Bachelor's degree
"strong,sensible,great,happy","important,decent,confident,consistent","irresponsible,stupid,unfair,selfish","ignorant,irrational,hateful,unjust","individualistic,competitive,traditional,profit-driven","cooperative,modern,old,purpose-driven","strong,sensible,great,wise","important,confident,truthful,moral","unacceptable,irresponsible,disgusting,stupid","ignorant,dangerous,poor,foolish","individualistic,competitive,traditional,profit-driven","pragmatic,cooperative,old,purpose-driven","kind,sensible,great,happy","important,decent,confident,consistent","irresponsible,unfair,dishonest,selfish","ignorant,irrational,hateful,unjust","artistic,competitive,young,profit-driven","pragmatic,cooperative,modern,purpose-driven","strong,sensible,great,happy","important,decent,confident,consistent","irresponsible,unfair,dishonest,selfish","ignorant,dangerous,hateful,unjust","individualistic,competitive,traditional,profit-driven","pragmatic,cooperative,modern,purpose-driven",Florida,Independent,,Christian Orthodox,,6,Some college or Associate's degree
"strong,sensible,great,wise","important,confident,respectful,moral","unacceptable,stupid,unfair,selfish","ignorant,dangerous,unjust,poor","competitive,traditional,urban,profit-driven","pragmatic,cooperative,modern,purpose-driven","strong,sensible,great,wise","decent,confident,respectful,consistent","unacceptable,unfair,dishonest,selfish","ignorant,dangerous,unjust,foolish","individualistic,competitive,traditional,profit-driven","cooperative,old,rural,purpose-driven","kind,encouraging,wise,sincere","important,respectful,consistent,moral","unacceptable,stupid,unfair,dishonest","ignorant,hateful,poor,foolish","artistic,traditional,young,profit-driven","cooperative,modern,abstract,purpose-driven","strong,sensible,great,wise","decent,confident,respectful,moral","unfair,dishonest,destructive,selfish","ignorant,irrational,dangerous,awful","competitive,traditional,concrete,profit-driven","collectivist,old,rural,purpose-driven",California,Independent,,Atheists (do not believe God exists),,Not at all1,High school diploma or GED
"strong,sensible,wise,sincere","important,decent,confident,consistent","unacceptable,unfair,dishonest,destructive","ignorant,hateful,unjust,foolish","artistic,competitive,traditional,profit-driven","collectivist,pragmatic,old,purpose-driven","strong,encouraging,great,wise","important,confident,respectful,moral","unacceptable,irresponsible,dishonest,selfish","ignorant,irrational,hateful,foolish","individualistic,competitive,concrete,profit-driven","modern,abstract,old,purpose-driven","strong,sensible,wise,sincere","important,decent,confident,consistent","unacceptable,unfair,dishonest,destructive","ignorant,unjust,poor,foolish","individualistic,competitive,traditional,profit-driven","collectivist,pragmatic,modern,old","strong,sensible,great,wise","important,decent,confident,consistent","irresponsible,unfair,dishonest,destructive","ignorant,unjust,poor,foolish","competitive,traditional,concrete,profit-driven","cooperative,abstract,old,purpose-driven",Ohio,Democrat,,Other Christianity (including non-denominational),,Extremely7,Some college or Associate's degree
"strong,sensible,sincere,happy","important,decent,confident,respectful","irresponsible,unfair,destructive,selfish","irrational,dangerous,hateful,foolish","competitive,traditional,concrete,profit-driven","collectivist,cooperative,modern,purpose-driven","strong,sensible,great,wise","important,confident,respectful,consistent","unacceptable,irresponsible,stupid,destructive","ignorant,irrational,dangerous,foolish","competitive,traditional,concrete,profit-driven","collectivist,pragmatic,old,purpose-driven","kind,encouraging,sincere,happy","important,decent,truthful,moral","unacceptable,irresponsible,destructive,selfish","ignorant,irrational,unjust,foolish","individualistic,artistic,young,urban","collectivist,cooperative,modern,abstract","strong,sensible,great,wise","important,decent,confident,consistent","irresponsible,stupid,unfair,selfish","hateful,unjust,foolish,awful","competitive,traditional,concrete,profit-driven","collectivist,pragmatic,old,purpose-driven",South Dakota,Independent,,Agnostic (not sure if God exists),,Not at all1,Some college or Associate's degree
"strong,encouraging,wise,happy","healthy,important,decent,confident","irresponsible,stupid,unfair,selfish","ignorant,irrational,dangerous,foolish","artistic,competitive,urban,profit-driven","collectivist,pragmatic,cooperative,modern","encouraging,great,wise,sincere","important,decent,consistent,moral","irresponsible,disgusting,unfair,dishonest","dangerous,hateful,unjust,foolish","competitive,traditional,concrete,profit-driven","pragmatic,old,rural,purpose-driven","kind,sensible,sincere,happy","healthy,important,decent,consistent","unacceptable,unfair,dishonest,destructive","hateful,unjust,poor,foolish","artistic,young,urban,profit-driven","collectivist,cooperative,modern,purpose-driven","encouraging,sensible,great,sincere","healthy,decent,confident,moral","unfair,dishonest,destructive,selfish","irrational,hateful,unjust,foolish","competitive,young,urban,profit-driven","collectivist,pragmatic,cooperative,modern",Florida,Independent,,"Protestantism (including Lutheran, Baptist, and Episcopalian)",,3,"Post-graduate education (Master's degree, PhD, MBA, MD, etc.)"
"strong,encouraging,great,sincere","healthy,important,decent,confident","unfair,dishonest,destructive,selfish","ignorant,irrational,unjust,foolish","individualistic,concrete,urban,profit-driven","pragmatic,cooperative,modern,purpose-driven","kind,strong,sensible,great","healthy,decent,truthful,moral","unacceptable,irresponsible,destructive,selfish","ignorant,dangerous,unjust,foolish","individualistic,traditional,young,urban","pragmatic,cooperative,modern,purpose-driven","kind,strong,encouraging,sincere","important,decent,truthful,moral","irresponsible,stupid,unfair,selfish","ignorant,irrational,unjust,foolish","individualistic,competitive,urban,profit-driven","pragmatic,cooperative,modern,purpose-driven","strong,great,wise,sincere","healthy,confident,truthful,moral","irresponsible,stupid,destructive,selfish","irrational,dangerous,hateful,foolish","traditional,concrete,young,urban","pragmatic,cooperative,modern,purpose-driven",California,Democrat,,Agnostic (not sure if God exists),,2,Bachelor's degree
"strong,sensible,wise,happy","healthy,important,decent,confident","stupid,dishonest,destructive,selfish","ignorant,irrational,dangerous,foolish","individualistic,concrete,urban,profit-driven","pragmatic,modern,rural,purpose-driven","strong,sensible,great,wise","important,confident,respectful,consistent","unacceptable,irresponsible,dishonest,destructive","irrational,hateful,unjust,poor","competitive,traditional,concrete,profit-driven","collectivist,pragmatic,cooperative,purpose-driven","kind,encouraging,great,sincere","healthy,important,confident,consistent","irresponsible,unfair,dishonest,selfish","ignorant,irrational,dangerous,hateful","artistic,concrete,young,urban","cooperative,modern,abstract,purpose-driven","strong,encouraging,great,happy","healthy,important,decent,confident","stupid,unfair,dishonest,selfish","ignorant,dangerous,hateful,awful","competitive,concrete,urban,profit-driven","collectivist,modern,old,purpose-driven",California,Democrat,,Buddhism,,2,Bachelor's degree
"kind,strong,encouraging,great","important,decent,truthful,moral","unacceptable,disgusting,dishonest,destructive","ignorant,dangerous,hateful,unjust","individualistic,competitive,young,profit-driven","pragmatic,cooperative,modern,purpose-driven","strong,sensible,great,wise","healthy,important,decent,confident","unacceptable,disgusting,stupid,destructive","irrational,poor,foolish,awful","competitive,traditional,concrete,profit-driven","collectivist,old,rural,purpose-driven","kind,strong,encouraging,great","decent,respectful,truthful,moral","unacceptable,disgusting,unfair,destructive","ignorant,dangerous,hateful,unjust","individualistic,competitive,young,profit-driven","pragmatic,cooperative,modern,purpose-driven","kind,strong,great,happy","important,decent,confident,respectful","disgusting,stupid,destructive,selfish","ignorant,dangerous,hateful,foolish","individualistic,competitive,urban,profit-driven","pragmatic,cooperative,modern,rural",Connecticut,Democrat,,Agnostic (not sure if God exists),,Not at all1,Some college or Associate's degree
"strong,encouraging,great,happy","important,decent,confident,consistent","irresponsible,stupid,dishonest,selfish","ignorant,unjust,poor,foolish","competitive,traditional,urban,profit-driven","collectivist,modern,old,purpose-driven","strong,sensible,great,wise","decent,respectful,truthful,moral","unfair,dishonest,destructive,selfish","irrational,dangerous,poor,foolish","individualistic,competitive,traditional,concrete","pragmatic,cooperative,modern,purpose-driven","strong,encouraging,sincere,happy","important,decent,confident,consistent","unacceptable,dishonest,destructive,selfish","ignorant,irrational,hateful,foolish","competitive,traditional,urban,profit-driven","collectivist,pragmatic,old,purpose-driven","strong,great,sincere,happy","important,decent,confident,consistent","irresponsible,stupid,dishonest,selfish","ignorant,unjust,foolish,awful","competitive,traditional,young,profit-driven","collectivist,old,rural,purpose-driven",Virginia,Democrat,,Judaism,,4,Bachelor's degree
